iter	Passed	Remaining
938	20633	1340
939	20654	1318
940	20676	1296
941	20696	1274
942	20716	1252
943	20738	1230
944	20758	1208
945	20779	1186
946	20800	1164
947	20820	1142
948	20845	1120
949	20868	1098
950	20889	1076
951	20909	1054
952	20930	1032
953	20952	1010
954	20974	988
955	20994	966
956	21014	944
957	21034	922
958	21055	900
959	21076	878
960	21097	856
961	21119	834
962	21141	812
963	21162	790
964	21184	768
965	21206	746
966	21229	724
967	21251	702
968	21275	680
969	21300	658
970	21322	636
971	21344	614
972	21366	592
973	21387	570
974	21409	548
975	21429	526
976	21451	504
977	21472	483
978	21494	461
979	21516	439
980	21537	417
981	21557	395
982	21578	373
983	21598	351
984	21620	329
985	21641	307
986	21662	285
987	21682	263
988	21703	241
989	21726	219
990	21748	197
991	21767	175
992	21790	153
993	21814	131
994	21836	109
995	21857	87
996	21879	65
997	21901	43
998	21922	21
999	21945	0
